idx,construction_score,construction_logprob,default_nan_score,default_nan_logprob,order_swap_score,order_swap_logprob,no_article_score,no_article_logprob,no_modifier_score,no_modifier_logprob,no_numeral_score,no_numeral_logprob
1,3.1615686464668498,-5.685223191023276,2.4003559108726362,-7.115566706766757,1.5029355313203325,-6.939333817517908,2.5298769536794774,-6.986045663959916,1.4088583918304767,-5.262135264358572,3.2789774314612563,-5.907369722303117
2,3.2578506320976173,-5.800413272553506,2.0548256803688645,-7.725437021221776,1.226511346917316,-7.427230069081922,2.650229435717937,-7.1300332658727035,1.433747007919114,-5.589700093538262,2.9334473382022512,-6.517239899513369
3,3.2369391597025383,-5.7448480269875075,2.9342021936676055,-6.750464610471688,1.9300125575563087,-6.647252140481852,2.624090095224088,-7.060576708915206,1.436255324272936,-5.459730580582646,3.8128237142562256,-5.542267626008048
4,3.0047241585017743,-5.669512343414988,1.8630529233594757,-7.437175524813213,1.0730931413098048,-7.196620871955072,2.333821343723132,-6.966407104449557,0.9138153944625694,-5.469586035770871,2.7416745811928624,-6.228978403104806
5,3.1243724470171736,-5.856290887208133,2.1063636057076156,-7.576898382850754,1.2677416871883167,-7.308399158385105,2.483381704367382,-7.1998802841909875,1.2639086823908177,-5.63020413502353,2.9849852635410024,-6.368701261142347
6,3.548075416230874,-5.437345857371241,2.9903768667676722,-6.698832546011708,1.9523240377052773,-6.6285747472449525,3.013010415884507,-6.676198996894874,1.082223956805476,-5.819818759570221,3.2789774314612563,-5.907369722303117
7,3.605891975839152,-5.591001364923961,2.6448466362638987,-7.308702860466727,1.6758998533022607,-7.116470998808967,3.085281115394852,-6.868268381335773,1.1266403072555005,-6.127855854388525,2.9334473382022512,-6.517239899513369
8,3.610812384013478,-5.509604238788557,3.5242231495626415,-6.333730449716639,2.379401063941253,-6.336493070208897,3.0914316256127616,-6.766521973666519,1.2070868156420478,-5.919948149400182,3.8128237142562256,-5.542267626008048
9,3.551664790143863,-5.261201147884888,2.45307387925451,-7.020441364058164,1.5224816476947496,-6.8858618016821165,3.017497133275741,-6.456018110036933,1.1196187373280253,-5.494831753092065,2.7416745811928624,-6.228978403104806
10,3.601189457238508,-5.518103313098788,2.69638456160265,-7.1601642220957045,1.7171301935732615,-6.997640088112149,3.0794029671440475,-6.777145816554307,1.1938562662876524,-5.931305611313345,2.9849852635410024,-6.368701261142347
11,3.055799297863453,-6.094360051068838,2.480978193756667,-7.414153813185432,1.5705788978806836,-7.175057962399722,2.397665130680463,-7.497466876261636,0.8562154936783296,-6.320390681580993,3.2789774314612563,-5.907369722303117
12,2.8173053946892592,-6.5443260214040295,2.1354479632528953,-8.02402412764045,1.294154713477667,-7.6629542139637365,2.0995477517127217,-8.059924339180624,0.4587258380476982,-7.0703337824799535,2.9334473382022512,-6.517239899513369
13,2.9798577853839268,-6.305296912748284,3.0148244765516363,-7.049051716890363,1.9976559241166598,-6.882976285363666,2.302738240081055,-7.761137953360944,0.729646306212454,-6.671952117713403,3.8128237142562256,-5.542267626008048
14,3.3011576800533446,-5.676446333305583,1.9436752062435065,-7.7357626312318875,1.1407365078701546,-7.432345016836888,2.7043631084178275,-6.9750747290575665,1.374989522073631,-5.514024427230086,2.7416745811928624,-6.228978403104806
15,3.1223381827500942,-6.161692662917377,2.1869858885916464,-7.875485489269428,1.3353850537486678,-7.544123303266919,2.4808387367887645,-7.58163264107231,0.9671138181490875,-6.432611518335537,2.9849852635410024,-6.368701261142347
16,1.6508471288408524,-6.587803554246801,-0.3242270300075691,-9.25233836849342,-0.7648567692278938,-8.497854341500691,0.477766789074618,-8.450344549411232,1.4088583918304767,-5.262135264358572,0.6745192409516628,-7.81415814570083
17,1.7711996108793118,-6.731791156159589,-0.3377233962089292,-9.618288179963109,-0.774979043878913,-8.772316700102957,0.6382367651258972,-8.642328018628282,1.433747007919114,-5.589700093538262,0.6610228747503027,-8.180107957170518
