idx,construction_score,default_nan_score,order_swap_score,no_article_score,no_modifier_score,no_numeral_score
1,-44.289865168004695,-38.12144629866052,-42.269529669882104,-38.12144629866052,-20.069409313268,-36.78017942518061
2,-45.37652809865755,-39.20810922931338,-43.35619260053496,-39.20810922931338,-21.15607224392086,-37.86684235583347
3,-45.00225233108786,-38.83383346174369,-42.98191683296527,-38.83383346174369,-20.781796476351165,-37.49256658826378
4,-43.45222476616294,-37.28380589681876,-41.43188926804035,-37.28380589681876,-19.231768911426244,-35.94253902333886
5,-44.955526616971405,-38.78710774762723,-42.93519111884881,-38.78710774762723,-20.73507076223471,-37.44584087414732
6,-44.986385407570836,-38.81796653822666,-42.966049909448245,-38.81796653822666,-20.76592955283414,-36.78017942518061
7,-46.07304833822369,-39.90462946887952,-44.0527128401011,-39.90462946887952,-21.852592483487,-37.86684235583347
8,-45.698772570654,-39.53035370130983,-43.67843707253141,-39.53035370130983,-21.478316715917305,-37.49256658826378
9,-44.14874500572908,-37.9803261363849,-42.12840950760649,-37.9803261363849,-19.928289150992384,-35.94253902333886
10,-45.652046856537545,-39.48362798719337,-43.631711358414954,-39.48362798719337,-21.43159100180085,-37.44584087414732
11,-45.800462951854854,-39.63204408251069,-43.78012745373226,-39.63204408251069,-21.580007097118163,-36.78017942518061
12,-46.88712588250771,-40.718707013163545,-44.86679038438512,-40.718707013163545,-22.666670027771023,-37.86684235583347
13,-46.51285011493802,-40.34443124559385,-44.49251461681543,-40.34443124559385,-22.292394260201327,-37.49256658826378
14,-44.9628225500131,-38.794403680668935,-42.94248705189051,-38.794403680668935,-20.74236669527641,-35.94253902333886
15,-46.46612440082156,-40.2977055314774,-44.44578890269897,-40.2977055314774,-22.24566854608487,-37.44584087414732
16,-33.010417532451115,-26.84199866310695,-30.99008203432853,-26.84199866310695,-20.069409313268,-25.50073178962704
17,-34.09708046310398,-27.928661593759806,-32.07674496498139,-27.928661593759806,-21.15607224392086,-26.5873947202799
18,-33.72280469553428,-27.554385826190114,-31.702469197411695,-27.554385826190114,-20.781796476351165,-26.213118952710204
